Text,Author,Likes
"""""Hopefully I don''t kill the city again.""""  Just the words you want to hear from the city planner.",@SoDakJason,13
I''d love to see you make a series out of this where every episode you expand the city by one tile and completely max it out before going to the next one,@tatodrawz,13
why do you laugh like jeff bezos,@babyobliterator405,12
Thanks for all the amazing content Phil! Do you (or anyone else here) know if the tax system is going to be overhauled in CS2? I do not believe I have done anything other than the classic crank it to 12% and forget about it for the rest of the game tactic and would love to see some more strategy incorporated.,@tmack1317,12
I enjoy that about halfway through you''ve essentially created Gotham City with the massive crime rate.,@grey1916,11
"Yeah, time to grab a cup of coffee and watch Phil done his work.",@MieAyamGeprekk,11
this guy''s laugh sounds like a rich man''s laugh,@Nononeno-eq7nv,9
The earthquake for the landfills is genius holy Phil,@itsyaboi7417,8
"Honestly this could be a mini series - filling out and developing one tile at a time before buying another.  Because my eye just looks at the edges of the city and thinks """"that is just begging for development"""".  But yeah, beautiful little city.  A lot lower in population then I was expecting (40,000 was my low estimate) but you didn''t go for the high density grid system so that makes perfect sense.  You went for style, not bulk.  And that''s great.  Makes me want to try this myself without falling back to my old bad habits.",@andromidius,8
The absolute moxie to do a one tile challenge that is mostly water. Great video!,@joshuasims5421,8
"I  love how happy he is, and how much he laughs! I love how much fun he is having!",@MIGHT_OFFICIAL,7
"The One-Tile city is awesome a mini Vedre beach. I think Creating a man-made Island as an amusement park, some Comercial and hotels may be a port would be good as well, you  can aquire dirt by eating from hill infront of the solar plant and will also give space for crucial services in that area",@amenboughanmi5819,6
Thanks for all your content! I enjoyed this build just as much as Verde Beach and Clearwater County.,@chew8500,6
You should turn this into a mini series. Use this as your downtown and then build the rest of the city in the remaining 8 tiles,@paolomaurini8534,6
"15:30""""WE DOOO!!"""" I''ve never heard you so excited",@ethakis,5
"Literally spit my drink out when you put the eldercare next to the cemetery to be """"efficient""""",@Sielleis,5
"I did this one time on my switch because I didn''t feel like buying a new tile and I believe I maxed it out at 22-24k people, with industries and commercial. Sadly it looked disgusting and had terrible planning and traffic. But it was making 36k at one point so I guess I did something right lol",@gabrielmora8403,5
You should expand the city and add suburbs and outlying districts. Could be a nice miniseries.,@MartelSays,5
His laugh is something else lol,@WafflesArePeak,4
Just started rewatching the Verde Beach playlist and I must say your video editing and quality has come a long and great way !! Keep up the great work Phil - lotsa love from Austria,@maideis,4
"Could you do a desert city build with the common issues that plague the US Southwest?  Issues including water shortages and conservancy, as well as explosion in population.  It would be intriguing to see the perspective of an actual city planner.",@jordanhurd1988,4
Prison Architect has a very nice Planning mode. CS2 should definitely have a similar feature.,@CVAGBowl,4
it''s wild to watch you play chaotic like this. it''s like watching bob ross do an abstract painting,@pedro_mab,4
"it would have been fun seeing you go back and fix this city like you did with Lakevalley, but still keeping it one tile city.",@kallexiao8592,4
"Wow, cities skylines finally simulating the finances of building roads and low density housing",@micahsarm,4
Really like this city asthetically. Maybe consider expanding beyond the one tile for a mini series. I''d watch it :P,@_fruitnveg,4
I thought you might build an artificial island like the Palm Island lol,@s_k.99,4
Wow good. Thank you for taking the time to produce quality content. What do you think of repeating the process by adding one square at a time creating “self sufficient tiles”? Would that break any population records?,@jdpierce2359,3
"This was probably the only CPP video that stressed me out lmao, I loved it!",@iain.sm.c,3
"Omg, that laugh.",@ClickityClack,3
This episode is the epitome of creativity through limitation! Great job with this one,@tyleralberico,3
this guy will laugh at anything lol,@kejiwiessner9276,3
This kind of remind me of Sim City. Good vibes!,@IsaiahWells,3
"I love your content, the music, the game and hopefully I''ll love cities 2. Can''t wait to play it",@Videogame_STX,3
Such a great challenge! And that nervous laugh when you have no money makes me chuckle every time haha great video!,@matthewbestwick1579,3
"Another great video to start the weekend!  However, I was surprised to see there were no subway station in the IT district - another loop in such a dense area might have helped the traffic flow a bit.",@maximesawicki1991,3
I actually start playing Cities Skylines after randomly stumbling upon one of your video.,@LearnThroughTrivia,3
"That turned out better than I expected, great work, Phil.",@IceDree,3
"If i had all of the dlcs used in this build, id definitely download this if i could and use this as a downtown and expand the city",@wyntoniscringe,3
real Simcity 2013 hours,@MrPopkorn66,3
"I have to apologize first and foremost. I found your youtube channel, honestly, quite some time ago but after watching some of your videos I never came back. I wanted to say sorry for not sticking around reliably, but this video really puts into perspective how hard you, and youtubers as a whole, put effort into these videos. You may never see this, but thank you for your time and effort. I''m going to try and be better and be more consistent because you are quite deserving of it.",@Linkstryfe,2
This guy sounds like a completely different person when he laughs,@ReynaMirez,2
this guys laugh is the way rich people laugh,@RoachDoggJr-v9b,2
"Did a One Tile City today after watching you and @realcivilengineer do this challenge, and I did it totally vanilla! No mods, no expansions! Ended up with a stable, clean, green city with just over 25k citizens!",@Nverinder716,2
Your laugh though,@visassess8607,2
"I remember that this video was the one that got me into cities: skylines, thank you for introducing me to such a beautiful game.",@dannoskates1072,2
city planner plays has the dad laugh,@therightquantityofcringe8622,2
"This looks awesome. You probably need a couple more subway connections around the offices and residents close to the highway, and you got a massive improvement.  Also, something to consider is to keep the series going with opening an adjacent tile and feeling it in. You got the border of the tile from the first town and started including Industries into the build. Plus you can keep it with 9 tiles or go to 25 if you want to keep the challenge going. That way you end with one massive city",@jaredstivers,2
One thing I might have changed is the landward metro having it swing north at the last current stop and terminating in the office park. Otherwise this is a lovely looking city,@seabassplayer9308,2
Nice post office :) A great reminder that it can be fun to start a city - even if just a smaller one.,@DocNo27,2
Korea town elements school. 1500 students and fits anywhere. Dude I''m telling you. High capacity elementary ain''t worth your time. Always Korea town unless going for specific looks. Tips and tricks,@devinx10,2
drink every time he laughs like that,@veronicasukz7712,1
We don''t have any power! BUT we have this windmill!Immediately sets on fire,@dramatica4982,1
"Finally! This is one challenge that I find always interesting just because of the nature of the beast. We can all make amazing large or expansive cities, but I love to see people try to take all the intricacies of a city and cram them into a 1x1 tile. This way, people now have to blend IRL with game mechanics to even have it be possible.  Thanks for trying this, great video as always.",@Dmania1000,1
"I submit a new challenge, City Lord. 1 Tile city with a huge mountain smacked in the center of the map. BET!",@WindAndWander,1
"I spent all day on this and up to 42,000 Population but I have a traffic flow rate of 55% which I am trying to tidy up a bit! Good challenge it really makes you think!",@Vallenthorne,1
Alternate Title: The Ultimate SimCity 2013 City,@AJDeere,1
I love how your city looks at the end.,@isaiahdehoff983,1
"Make one tile city part2, buy one more tile and expand city! It would be lit!",@behahwnaj66,1
"I did an experiment with industrial and you can get to the first milestones with just 8 4x4 buildings if you target upgrading them as a priority.  After that, you''ll never need it again anyway.",@RustyWalker,1
I thought his laugh was a sound effect added to the video,@hiramtorres3335,1
The screenshot at21:08. LOL. Hilarious.,@OyvindSolstad,1
Singapore Is a Very Good Example For This Type pf Video.,@rif9502,1
"I really like this episode, I make plenty of mistakes building my city and seeing him make such light out of it and figuring it out is City Planner ASMR lol",@ConnerSMcGowan,1
This dudes laugh funny asf,@notmyrodrick9762,1
Great premise. My husband and I enjoyed watching this together!,@duckpond7856,1
21:46your city was in a whole civil war lol,@SolarGearVids,1
"You should now build a one tile micronation. I have NEVER seen someone build an actual country other than Sam Bur. But he stopped posting, so I would love to see you create a small country",@s-builds,1
2:27that laugh! So lovely,@atillerthehun8039,
"I love how chaotic this is, right from the start, and yet you manage to pull it off XD Well done! My guess was a population of twenty thousand and you exceeded my expectation. So great job!",@evilpompom,
"Hey CPP! Love your videos and never thought I would be the one to ever give you tips on this game lol, but as a person who enjoys playing with limited money/milestones, here are 2 tricks i learned:  1. set your power and water to 50% in the budget panel. When you first get the notification that you''re running out of electricity/water, instead of buying more, just keep increasing the budget. I like to go in 25% increments so it also gives me time to save for the next power plant.  2. As SOON as you get your first milestone, you gotta increase taxes to 12%. They wont complain about it I promise.",@hypanthia,
